Vraag ID;Week;Type;Vraag;Optie A;Optie B;Optie C;Optie D;Correct Antwoord;Feedback
11;47;Nieuws;Wat is de kritiek van de medewerkers van het OCMW Anderlecht op hun directie?;De directie is onvoldoende begaan met het lot van de cliënten.;De directie heeft geen oog voor de werkdruk van de medewerkers.;De directie laat zich te veel leiden door politieke inmenging.;De directie is onvoldoende competent om de problemen aan te pakken.;C;De medewerkers hekelen de politieke invloed op de besluitvorming binnen het OCMW.
12;47;Nieuws;Wat is volgens de maatschappelijk assistenten van het OCMW Anderlecht de belangrijkste oorzaak van de problemen?;Een tekort aan middelen en personeel.;De complexiteit van de wetgeving.;De politieke inmenging in de besluitvorming.;Het gebrek aan controle op de toekenning van leeflonen.;C;De assistenten pleiten voor depolitisering van de sociale bijstand om de problemen aan te pakken.
13;47;Nieuws;Waarom is de formatie van een nieuwe federale regering zo lang aanslepend?;De ideologische verschillen tussen de onderhandelende partijen zijn te groot.;De partijen kunnen het niet eens worden over de verdeling van de ministerposten.;De onderhandelingen worden gekenmerkt door een gebrek aan vertrouwen tussen de partijen.;De partijen wachten de uitkomst van de formatie op andere bestuursniveaus af.;C;Er heerst veel wantrouwen tussen de partijen, wat de onderhandelingen bemoeilijkt.
14;47;Nieuws;Welke strategie hanteert formateur Bart De Wever in de federale formatie?;Hij wil zo snel mogelijk een akkoord sluiten, zelfs als dat betekent dat er compromissen moeten worden gesloten.;Hij wil eerst de moeilijke thema's bespreken om te zien of er voldoende raakvlakken zijn tussen de partijen.;Hij wil eerst werken aan het herstel van het vertrouwen tussen de partijen.;Hij wil de druk op de partijen opvoeren door te dreigen met nieuwe verkiezingen.;C;De Wever probeert eerst het vertrouwen tussen de partijen te herstellen door andere thema's dan fiscaliteit te bespreken.
15;47;Nieuws;Wat is het belangrijkste argument van de Vlaamse liberalen om de groeinorm in de gezondheidszorg te verlagen?;De gezondheidszorg is te duur geworden.;De kwaliteit van de zorg moet verbeteren.;Er moet meer geld vrijkomen voor andere beleidsdomeinen.;De vergrijzing zorgt voor een stijgende kost van de gezondheidszorg.;A;De Vlaamse liberalen willen de uitgaven in de gezondheidszorg beperken.
16;47;Nieuws;Wat is het doel van de Vlaamse minister van Wonen om de huurpremies te hervormen?;De huursubsidie en de huurpremie samenvoegen tot één systeem.;Het makkelijker maken voor huurders om een toelage aan te vragen.;Meer mensen met een laag inkomen toegang geven tot een huurtoelage.;De administratieve procedures voor het aanvragen van een toelage vereenvoudigen.;C;Depraetere wil met de hervorming de toegankelijkheid van huurtoelages vergroten voor kwetsbare huurders.
17;47;Nieuws;Welke kritiek heeft Groen op de manier waarop de federale regering in lopende zaken wordt bestuurd?;De regering komt te weinig samen en belangrijke beslissingen worden uitgesteld.;Premier De Croo is te veel bezig met internationale dossiers en te weinig met de binnenlandse problemen.;De regering communiceert te weinig over haar beleid.;De regering neemt te veel nieuwe initiatieven, terwijl ze enkel de lopende zaken zou moeten behartigen.;A;Groen vindt dat de regering te weinig samenkomt en belangrijke beslissingen, zoals de Riziv-begroting, uitstelt.
18;47;Nieuws;In Ninove werd er mogelijk gefraudeerd met volmachten tijdens de gemeenteraadsverkiezingen.  Welke partij heeft besloten om geen klacht in te dienen?;N-VA;Vlaams Belang;CD&V;Open Vld;A;N-VA heeft besloten om geen bezwaar in te dienen tegen de verkiezingsuitslag, ondanks een vermoeden van fraude met volmachten.
19;47;Nieuws;Bart Dhondt, kandidaat-voorzitter voor Groen, wil van Groen in 2029-2030 opnieuw een bestuurspartij maken. Welke strategie wil hij hiervoor gebruiken?;Groen moet een duidelijk links profiel aannemen en zich profileren als oppositiepartij.;Groen moet zich openstellen voor samenwerking met alle democratische partijen, inclusief N-VA.;Groen moet zich focussen op de thema's klimaat en sociale rechtvaardigheid.;Groen moet zich meer richten op de lokale verkiezingen.;B;Dhondt wil Groen openstellen voor samenwerking met alle democratische partijen, inclusief N-VA, om zo opnieuw te kunnen deelnemen aan de regeringen.
20;47;Nieuws;De PVDA maakt voor het eerst deel uit van een stadsbestuur in Wallonië.  Welke stad is dit?;Bergen;Luik;Charleroi;Namen;A;In Bergen bestuurt de PVDA mee met de PS en Ecolo. 
21;47;Nieuws;Bart Eeckhout stipt aan dat er in Vlaanderen een consensus bestaat over de manier waarop sociale ondersteuning aangepakt moet worden. Welke aanpak geniet de voorkeur in Vlaanderen?;Een passievere vorm van sociale ondersteuning, waarbij de burger meer op zichzelf aangewezen is.;Een actievere vorm van sociale ondersteuning, met een sterkere nadruk op activering en het stimuleren van zelfredzaamheid.;Het behoud van het huidige systeem, met een focus op het verstrekken van sociale voordelen aan burgers.;Het volledig afschaffen van sociale ondersteuning en het stimuleren van private initiatieven.;B;De voorkeur in Vlaanderen gaat uit naar een actievere vorm van sociale ondersteuning, met een sterkere nadruk op activering en het stimuleren van zelfredzaamheid. [1]
22;47;Nieuws;Volgens Bart Eeckhout is het cliëntelisme in Brussel sterk aanwezig, met name in bepaalde gemeenten. Welke gemeenten noemt hij als voorbeelden van waar dit systeem dominant is?;Sint-Joost-ten-Node en Schaarbeek.;Elsene en Ukkel.;Anderlecht en Sint-Joost-ten-Node.;Molenbeek en Vorst.;C;Eeckhout noemt Anderlecht en Sint-Joost-ten-Node als voorbeelden van gemeenten waar cliëntelisme sterk aanwezig is. Hij suggereert ook dat vergelijkbare systemen te vinden zijn in Molenbeek en Koekelberg. [1]
23;47;Nieuws;Welke kritiek uit Bart Eeckhout op de omvang van het kabinet van de Brusselse minister-president Rudi Vervoort (PS) in vergelijking met dat van zijn Vlaamse evenknie Jan Jambon (N-VA)?;Het kabinet van Vervoort is te klein, wat de efficiëntie van de Brusselse regering belemmert.;De omvang van het kabinet van Vervoort is vergelijkbaar met dat van Jambon, wat aangeeft dat er geen sprake is van politieke obesitas.;Het kabinet van Vervoort is ongeveer twee keer zo groot als dat van Jambon, wat getuigt van politieke obesitas en een gebrek aan soberheid.;Het kabinet van Vervoort is te divers, wat leidt tot een gebrek aan cohesie en slagkracht.;C;Eeckhout bekritiseert de omvang van Vervoorts kabinet door te stellen dat het ongeveer twee keer zo groot is als dat van Jambon, wat volgens hem duidt op politieke obesitas en een gebrek aan soberheid. [2]
24;47;Nieuws;Volgens Bart Eeckhout heeft Ahmed Laaouej, de nieuwe kopman van de PS in Brussel, een specifieke strategie gehanteerd om het electorale succes van zijn partij te behouden. Welke strategie beschrijft Eeckhout?;Een focus op progressieve, groen-linkse standpunten om een nieuwe generatie kiezers aan te trekken.;Het terugkeren naar een traditioneel basisrecept van sociale eisen, aangevuld met cliëntelisme en electoralisme.;Het aangaan van een coalitie met de N-VA om een stabiele Brusselse regering te vormen.;Het promoten van een verregaande staatshervorming om Brussel meer autonomie te geven.;B;Eeckhout beschrijft Laaouej's strategie als een terugkeer naar een traditioneel basisrecept van sociale eisen, gecombineerd met cliëntelisme en electoralisme. Dit om het electorale succes van de PS te behouden. [3]
25;47;Nieuws;Welke houding neemt Ahmed Laaouej aan ten opzichte van het mobiliteitsplan Good Move, volgens Bart Eeckhout?;Laaouej is een groot voorstander van Good Move en ziet het als een essentiële stap naar een duurzame stad.;Laaouej staat neutraal tegenover Good Move en laat de besluitvorming over aan de andere partijen in de Brusselse regering.;Laaouej heeft een scherpe bocht gemaakt in zijn houding tegenover Good Move en verzet zich nu tegen het plan.;Laaouej was aanvankelijk een tegenstander van Good Move, maar heeft zijn standpunt herzien en steunt het plan nu volledig.;C;Eeckhout beschrijft dat Laaouej een scherpe bocht heeft gemaakt in zijn houding tegenover Good Move en zich nu tegen het mobiliteitsplan verzet. [3]
26;47;Nieuws;Bart Eeckhout gebruikt een voorbeeld om te illustreren hoe Ahmed Laaouej omgaat met initiatieven die niet aansluiten bij zijn kiespubliek. Welk voorbeeld gebruikt hij?;Het sluiten van de zomerbar Bar Eliza in Koekelberg, die voornamelijk door Nederlandstalige vrijwilligers werd gerund.;De afschaffing van subsidies voor culturele centra in Molenbeek die zich richten op een Vlaams publiek.;Het blokkeren van de bouw van een nieuwe Nederlandstalige school in Anderlecht.;Het verhinderen van de organisatie van een Nederlandstalig festival in het centrum van Brussel.;A;Eeckhout haalt het voorbeeld aan van de sluiting van zomerbar Bar Eliza in Koekelberg om te illustreren hoe Laaouej omgaat met initiatieven die niet zijn kiespubliek aanspreken. [4]
27;47;Nieuws;Wat stoort Ahmed Laaouej volgens Bart Eeckhout aan de mogelijke deelname van de N-VA aan de Brusselse regering?;De N-VA zou pleiten voor een strengere aanpak van criminaliteit, wat Laaouej te repressief vindt.;De N-VA zou de Franstalige cultuur in Brussel willen onderdrukken, wat Laaouej onaanvaardbaar vindt.;De inbreng van de N-VA zou de Brusselse regering verder van de belangen van de PS wegdrijven, onder andere door te pleiten voor meer begrotingsdiscipline en een herfinanciering van het Gewest gekoppeld aan een interne staatshervorming.;De N-VA zou de macht van de Brusselse burgemeesters willen beperken, wat Laaouej als een aanval op de lokale democratie beschouwt.;C;Laaouej stoort zich aan de mogelijke deelname van de N-VA omdat dit de Brusselse regering verder van de belangen van de PS zou wegdrijven, onder meer door te pleiten voor meer begrotingsdiscipline en een herfinanciering van het Gewest gekoppeld aan een interne staatshervorming. [5]
28;47;Nieuws;Bart Eeckhout vergelijkt de Belgische regeringsvorming met de aanstelling van de Europese Commissie. Welk verschil ziet hij als het meest opvallend?;De Europese Commissie wordt samengesteld op basis van expertise, terwijl de Belgische regering wordt gevormd op basis van partijpolitieke belangen.;De Europese Commissie wordt democratisch verkozen, terwijl de Belgische regering wordt aangesteld door de koning.;De Europese regeringsvorming laat meer ruimte voor parlementaire inbreng in het beleid, terwijl de Belgische regeringsvorming wordt gekenmerkt door achterkamerpolitiek.;De Europese regeringsvorming verloopt veel sneller dan de Belgische regeringsvorming, wat resulteert in meer stabiliteit en daadkracht.;C;Eeckhout ziet als meest opvallend verschil dat de Europese regeringsvorming meer ruimte laat voor parlementaire inbreng, terwijl de Belgische regeringsvorming wordt gekenmerkt door achterkamerpolitiek. [6, 7]
29;47;Nieuws;Georges-Louis Bouchez (MR) heeft een duidelijk standpunt ingenomen over de belastingen in de context van de federale regeringsonderhandelingen. Welk standpunt verdedigt hij?;Bouchez pleit voor een verhoging van de belastingen op arbeid om de sociale zekerheid te versterken.;Bouchez is bereid om een verhoging van de belastingen op vermogens te accepteren, op voorwaarde dat de belastingen op arbeid dalen.;Bouchez vindt dat de belastingen in België al hoog genoeg zijn en wil geen verdere verhogingen.;Bouchez is voorstander van een progressiever belastingsysteem, waarbij de rijkste burgers meer bijdragen.;B;Bouchez is bereid om een verhoging van de belastingen op vermogens te accepteren, maar alleen als er een aanzienlijke verlaging van de belastingen op arbeid komt. [8]
30;47;Nieuws;Welke journalist plaatst vraagtekens bij de dossierkennis van Conner Rousseau (Vooruit) in de context van de federale regeringsonderhandelingen?;Ivan De Vadder.;Annelies Verlinden.;Dorian De Meeûs.;Jan Jambon.;C;Dorian De Meeûs, hoofdredacteur van La Libre Belgique, uit twijfels over de dossierkennis van Conner Rousseau. [9] 
